TimeStep,"Vel","Points:0","Points:1","Points:2"
0,0,22.293,8.5342,14.064
0,0,22.271,8.5153,14.033
0,0,22.25,8.4963,14.003
0,0,22.228,8.4772,13.973
0,0,22.206,8.4581,13.943
0,0,22.184,8.4388,13.914
0,0,22.161,8.4195,13.886
0,0,22.139,8.4,13.858
0,0,22.116,8.3805,13.831
0,0,22.093,8.3609,13.804
0,0,22.07,8.3412,13.778
0,0,22.047,8.3214,13.752
0,0,22.023,8.3016,13.727
0,0,22,8.2816,13.702
0,0,21.976,8.2615,13.677
0,0,21.952,8.2414,13.653
0,0,21.928,8.2212,13.63
0,0,21.904,8.2009,13.607
0,0,21.879,8.1804,13.584
0,0,21.855,8.1599,13.562
0,0,21.83,8.1393,13.54
0,0,21.805,8.1187,13.518
0,0,21.78,8.0979,13.497
0,0,21.755,8.077,13.476
0,0,21.73,8.0561,13.456
0,0,21.705,8.035,13.436
0,0,21.679,8.0139,13.416
0,0,21.654,7.9927,13.397
0,0.0023965,21.628,7.9714,13.378
0,0.0024043,21.603,7.95,13.359
0,0.0024114,21.577,7.9285,13.34
0,0.0024289,21.551,7.9069,13.322
0,0.0024478,21.525,7.8852,13.304
0,0.0024688,21.499,7.8635,13.287
0,0.0024915,21.473,7.8416,13.269
0,0.0025147,21.447,7.8197,13.252
0,0.0025407,21.421,7.7977,13.235
0,0.0025661,21.394,7.7755,13.219
0,0.0025951,21.368,7.7533,13.202
0,0.0026238,21.341,7.731,13.186
0,0.0026545,21.315,7.7086,13.17
0,0.0026858,21.288,7.6861,13.155
0,0.0027184,21.262,7.6636,13.139
0,0.0027525,21.235,7.6409,13.124
0,0.0027874,21.209,7.6181,13.108
0,0.0028241,21.182,7.5953,13.093
0,0.0028613,21.155,7.5723,13.078
0,0.0029007,21.129,7.5493,13.064
0,0.0029406,21.102,7.5262,13.049
0,0.0029824,21.075,7.503,13.035
0,0.0030251,21.049,7.4797,13.02
0,0.0030703,21.022,7.4558,13.005
0,0.0031159,20.995,7.4322,12.991
0,0.0031625,20.969,7.4087,12.976
0,0.0032104,20.942,7.3851,12.962
0,0.0032589,20.915,7.3616,12.947
0,0.0033096,20.889,7.3376,12.933
0,0.0033611,20.862,7.3137,12.918
0,0.003414,20.835,7.2896,12.904
0,0.0034679,20.809,7.2655,12.889
0,0.0035233,20.782,7.2411,12.875
0,0.0035801,20.756,7.2165,12.86
0,0.0036377,20.729,7.1919,12.846
0,0.0036963,20.703,7.1673,12.831
0,0.0037558,20.677,7.1426,12.817
0,0.0038168,20.651,7.1176,12.803
0,0.0038776,20.625,7.0929,12.789
0,0.003941,20.599,7.0676,12.774
0,0.0040038,20.574,7.0425,12.76
0,0.0040687,20.548,7.0171,12.745
0,0.0041339,20.523,6.9917,12.73
0,0.0042003,20.497,6.9661,12.715
0,0.0042671,20.471,6.9404,12.701
0,0.0043351,20.446,6.9146,12.686
0,0.0044043,20.421,6.8884,12.671
0,0.004474,20.395,6.8621,12.655
0,0.0045444,20.37,6.8358,12.64
0,0.0046153,20.346,6.8095,12.625
0,0.0046866,20.321,6.783,12.609
0,0.0047582,20.296,6.7565,12.593
0,0.0048302,20.271,6.7302,12.578
0,0.0049021,20.247,6.7038,12.562
0,0.004975,20.223,6.6772,12.546
0,0.0050477,20.198,6.6508,12.53
0,0.0051203,20.175,6.6245,12.514
0,0.0051923,20.151,6.5982,12.498
0,0.0052657,20.127,6.5719,12.482
0,0.0053389,20.104,6.5454,12.465
0,0.0054125,20.08,6.5189,12.448
0,0.0054857,20.057,6.4925,12.432
0,0.0055599,20.034,6.4659,12.414
0,0.0056337,20.011,6.4394,12.397
0,0.0057097,19.987,6.4127,12.378
0,0.0057843,19.964,6.3861,12.36
0,0.0058585,19.941,6.3599,12.341
0,0.0059348,19.917,6.3334,12.322
0,0.0060079,19.895,6.3074,12.303
0,0.006083,19.872,6.2816,12.284
0,0.0061565,19.85,6.2558,12.264
0,0.0062313,19.827,6.2301,12.244
0,0.0063064,19.805,6.2045,12.223
0,0.0063809,19.782,6.179,12.202
0,0.0064564,19.76,6.1536,12.181
0,0.0065309,19.737,6.1286,12.159
0,0.0066055,19.715,6.1037,12.136
0,0.0066806,19.693,6.0788,12.114
0,0.0067542,19.671,6.0539,12.092
0,0.0068306,19.649,6.0288,12.07
0,0.006903,19.627,6.0041,12.047
0,0.0069794,19.605,5.9794,12.025
0,0.0070511,19.583,5.9548,12.002
0,0.0071263,19.561,5.9306,11.979
0,0.0071969,19.539,5.9066,11.956
0,0.0072704,19.517,5.8826,11.934
0,0.0073398,19.496,5.8591,11.911
0,0.0074111,19.474,5.8354,11.889
0,0.00748,19.453,5.8124,11.866
0,0.0075483,19.431,5.7891,11.844
0,0.0076181,19.41,5.766,11.821
0,0.0076828,19.389,5.743,11.799
0,0.0077521,19.368,5.72,11.777
0,0.0078139,19.347,5.6971,11.755
0,0.0078805,19.326,5.6743,11.734
0,0.0079407,19.305,5.6516,11.712
0,0.0080036,19.284,5.6287,11.69
0,0.0080648,19.264,5.6059,11.669
0,0.0081231,19.243,5.583,11.647
0,0.0081849,19.222,5.5602,11.625
0,0.0082379,19.202,5.5374,11.603
0,0.0082955,19.182,5.5148,11.582
0,0.0083476,19.161,5.4918,11.559
0,0.008401,19.141,5.4689,11.537
0,0.0084513,19.121,5.4459,11.515
0,0.0084995,19.1,5.4229,11.492
0,0.008547,19.08,5.3999,11.47
0,0.0085888,19.06,5.3771,11.447
0,0.0086317,19.04,5.3544,11.425
0,0.0086674,19.02,5.3317,11.402
0,0.0087035,19,5.309,11.379
0,0.0087337,18.98,5.2866,11.356
0,0.0087626,18.96,5.2643,11.334
0,0.0087856,18.94,5.2423,11.311
0,0.0088084,18.921,5.2203,11.288
0,0.0088234,18.901,5.1982,11.265
0,0.0088379,18.881,5.1761,11.242
0,0.0088457,18.861,5.1541,11.219
0,0.0088483,18.841,5.1321,11.195
0,0.0088506,18.821,5.1102,11.172
0,0.0088406,18.802,5.0883,11.149
0,0.0088349,18.782,5.0664,11.125
0,0.0088131,18.761,5.0444,11.101
0,0.0087961,18.742,5.0227,11.078
0,0.0087645,18.722,5.0007,11.054
0,0.0087337,18.701,4.9787,11.03
0,0.008691,18.681,4.9568,11.006
0,0.0086472,18.661,4.935,10.982
0,0.0085929,18.642,4.9131,10.957
0,0.0085377,18.622,4.8918,10.933
0,0.0084726,18.603,4.8705,10.909
0,0.0084025,18.583,4.8492,10.885
0,0.0083264,18.564,4.828,10.86
0,0.008241,18.544,4.8068,10.835
0,0.0081524,18.525,4.7858,10.81
0,0.0080546,18.506,4.7648,10.785
0,0.0079501,18.487,4.7439,10.76
0,0.0078419,18.468,4.723,10.734
0,0.0077203,18.449,4.702,10.708
0,0.0075976,18.43,4.6809,10.682
0,0.0074646,18.412,4.6602,10.656
0,0.0073281,18.394,4.6395,10.63
0,0.0071868,18.377,4.6192,10.604
0,0.0070365,18.359,4.5988,10.577
0,0.0068825,18.342,4.5787,10.551
0,0.0067235,18.325,4.5586,10.524
0,0.0065549,18.308,4.5387,10.498
0,0.0063857,18.291,4.5189,10.471
0,0.0062105,18.274,4.4994,10.444
0,0.0060281,18.257,4.4796,10.416
0,0.0058404,18.24,4.4598,10.389
0,0.0056553,18.223,4.4404,10.362
0,0.005467,18.206,4.421,10.334
0,0.0052791,18.189,4.4019,10.307
0,0.0050945,18.173,4.3829,10.279
0,0.0049151,18.156,4.364,10.252
0,0.0047383,18.139,4.3453,10.224
0,0.0045769,18.122,4.3261,10.196
0,0.0044226,18.105,4.307,10.167
0,0.0042912,18.087,4.2876,10.139
0,0.0041881,18.07,4.2686,10.11
0,0.004116,18.053,4.2496,10.081
0,0.0040888,18.034,4.2305,10.052
0,0.004102,18.017,4.2117,10.024
0,0.0041813,17.999,4.1929,9.9946
0,0.0043007,17.981,4.1746,9.9662
0,0.00449,17.963,4.156,9.9376
0,0.0047311,17.945,4.1374,9.9089
0,0.0050187,17.927,4.1189,9.8805
0,0.005374,17.91,4.1004,9.8519
0,0.0057653,17.892,4.0819,9.8233
0,0.0062101,17.874,4.0634,9.7946
0,0.0067031,17.855,4.0447,9.7659
0,0.0072282,17.837,4.026,9.7371
0,0.0077915,17.819,4.0075,9.7088
0,0.0083878,17.8,3.989,9.6804
0,0.0090116,17.782,3.9705,9.6521
0,0.0096654,17.763,3.9521,9.6242
0,0.010347,17.745,3.9336,9.5962
0,0.01106,17.726,3.9148,9.5679
0,0.011796,17.707,3.8962,9.5401
0,0.012557,17.688,3.8771,9.512
0,0.013332,17.668,3.8583,9.4845
0,0.01412,17.649,3.8394,9.4572
0,0.014906,17.63,3.8209,9.4304
0,0.015713,17.61,3.8021,9.4037
0,0.01653,17.591,3.7829,9.377
0,0.017356,17.571,3.7635,9.3503
0,0.018176,17.551,3.7442,9.3241
0,0.018988,17.531,3.7248,9.2981
0,0.019787,17.511,3.7055,9.2727
0,0.020578,17.492,3.686,9.2474
0,0.021356,17.471,3.6662,9.2221
0,0.022117,17.451,3.6462,9.1972
0,0.022847,17.431,3.626,9.1724
0,0.023565,17.41,3.6052,9.1473
0,0.024245,17.39,3.5843,9.1224
0,0.024876,17.369,3.5634,9.0979
0,0.025469,17.348,3.5423,9.0734
0,0.026002,17.327,3.5209,9.0491
0,0.02648,17.305,3.4997,9.0252
0,0.026888,17.284,3.4782,9.0015
0,0.02723,17.263,3.4565,8.978
0,0.027493,17.241,3.4349,8.955
0,0.02768,17.22,3.413,8.9318
0,0.027786,17.198,3.3909,8.9087
0,0.027801,17.176,3.369,8.8861
0,0.027731,17.154,3.3468,8.8636
0,0.027566,17.132,3.3246,8.8413
0,0.027311,17.11,3.3022,8.8191
0,0.026957,17.087,3.2798,8.7971
0,0.026505,17.064,3.257,8.7748
0,0.025955,17.041,3.2342,8.7527
0,0.025303,17.018,3.2112,8.7302
0,0.024564,16.995,3.1883,8.7082
0,0.023727,16.971,3.1652,8.6858
0,0.022815,16.948,3.1421,8.6637
0,0.021817,16.924,3.119,8.6416
0,0.020779,16.901,3.0961,8.6199
0,0.019655,16.877,3.073,8.5981
0,0.018517,16.854,3.05,8.5764
0,0.017313,16.831,3.027,8.5546
0,0.016105,16.809,3.0038,8.5324
0,0.014872,16.786,2.9808,8.5103
0,0.013664,16.763,2.9578,8.488
0,0.012493,16.741,2.935,8.4658
0,0.011384,16.719,2.9124,8.4436
0,0.010378,16.697,2.8898,8.421
0,0.0094634,16.675,2.8672,8.3981
0,0.0087812,16.653,2.8447,8.3749
0,0.0082768,16.632,2.8221,8.3514
0,0.0080633,16.611,2.7996,8.3277
0,0.0081267,16.59,2.7773,8.3038
0,0.0084192,16.57,2.7552,8.2797
0,0.0089732,16.55,2.7334,8.2557
0,0.0096574,16.529,2.7115,8.2308
0,0.010516,16.509,2.6896,8.2055
0,0.011436,16.489,2.6677,8.1796
0,0.012437,16.469,2.6461,8.1536
0,0.013442,16.449,2.6247,8.1273
0,0.014494,16.429,2.6034,8.1008
0,0.015526,16.409,2.5823,8.0739
0,0.016587,16.389,2.5613,8.0466
0,0.017619,16.369,2.5405,8.0189
0,0.018657,16.348,2.5197,7.9908
